,agency_name,agency_url,award_number,award_title,res_id,res_title
19,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,2d2d46ad1f2a44b8822b41cbfc55e1e7,Water News Media Analysis
20,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,23240f0a7f8a49c48d43ba16675ddfee,"Red Butte Creek discharge, temperature, and conductivity dataset"
21,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,e7575d7ba1ca4c42b6bfeaf6d84b39e5,"Provo River discharge, temperature, and conductivity dataset"
22,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,a0e10d4ab642439db08a322f7f2acde7,"Logan River discharge, temperature, and conductivity dataset"
23,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,1008b2dc94ef4624891f220f6a02c406,"Inventories of studies implementing models for Cache Valley, Utah"
24,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,e47b0c3e244e428fb7f91011dc7af70c,Water Management Adaptation to Climate Change in Utah
25,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,be8b5d2d5d06479bad0b4a5fd635988a,Energy Balance of an Isolated Urban Tree
26,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,2bbd6345e2e44f7bb3ccfb7a156482c4,Final Report: Armstrong 2013 Exploratory Interviews of Water Managers
27,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,bbe30a0dc8894286a2cea2b1230c0bed,Armstrong 2014 Final Report Stormwater Manager Interviews
28,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,4efd5b9c0fce4b07805fa139ab6d11b9,Water Community Key Informant Interviews
29,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,9f7a391dd2c14acba509d335e2a6d6d6,Knowlton Fork Sapflux
30,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,39226ebf17294b6cb2f3ff8bbc3cc25b,T.W. Daniels Sapflux Aspen
31,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,6a1f646b8fa54f1e995cb19d3d30c457,T.W. Daniels Sapflux Subalpine Fir
32,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,81e947faccf04de59392dddaac77bc75,RFA 3 Model Inventory
33,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,1f9c2b8d4fbd4c849e8e492cb0fd9198,Effects of nutrient and pharmaceutical additions on stream biofilms
34,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,0e00b7cd6e11438d9f5b491dc3b6185c,"Riparian plant, algae, and moss nitrogen and carbon isotopes across the iUTAH watersheds"
35,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,5f9ec9cf259f454a8ab964e3e8d59131,Red Butte Canyon meadow and lawn soil biogeochemical data
36,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,890e7a8f7db643a4b66aa9514aaf06eb,Utah Water Watch Evaluation Survey
37,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,ebc2fe43ec8f4d8180a50c91b4a68a35,Red Butte Creek stream and groundwater ion concentrations
38,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,e42d440acb0b438793b3cdf3bcc09315,"Knowlton Fork, RBC, soil nitrogen data"
39,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,e2043ae155514391b6d7f04af226f221,iUTAH GAMUT Network Raw Data Above Red Butte Reservoir Advanced Aquatic Site (RB_ARBR_AA)
40,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,250a21e6752b46a48167311b46fa7c71,Utah Water Voices
41,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,84f00a1d8ae641a8af2d994a74f4ccfb,Development of a 'Water-Relevant Typology' of Urban Neighborhoods
42,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,6aa75450ee2744cdb34ed8dde929a84a,iUTAH GAMUT Network Raw Data at Charleston Climate Site (PR_CH_C)
43,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,887180409e4545018c8372f0bd6f8ff3,Unused_Resource_6
44,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,765afb955526499888f283947cbb26d9,iUTAH GAMUT Network Raw Data at Provo River near Lower Midway Basic Aquatic Site (PR_LM_BA)
45,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,3ebf244bd2084cfaa68b83b7f91e9587,iUTAH GAMUT Network Raw Data at Trial Lake Climate Site (PR_TL_C)
46,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,d14c319e607140bb83fe6b3b93302994,Discharge Rating Curve at Provo River near Soapstone Basin Aquatic Site (PR_ST_BA)
47,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,9e5e99125d1646c69dde9fc43e137667,Unused_Resource_5
48,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,aff4e6dfc09a4070ac15a6ec0741fd02,iUTAH GAMUT Network Raw Data at Todd's Meadow Climate Site (RB_TM_C)
49,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,5e80dd7cbaf04a5e98d850609c7e534b,Unused_Resource_1
50,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,b66918eebb42426aa795351333ff6423,Discharge Rating Curve at Red Butte Creek near Red Butte Gate Basic Aquatic Site (RB_RBG_BA)
51,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,cf8d84ef37964fa3a10f69ce4b9f9586,Discharge Rating Curve at Red Butte Creek near Foothill Drive Advanced Aquatic Site (RB_FD_AA)
52,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,c0a5a958e95e44b5846a7d8950be7bbd,Discharge Rating Curve at Red Butte Creek near Cottams Grove Basic Aquatic Site (RB_CG_BA)
53,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,190c1a3f34d54064a0ceecff7d2db4ea,Swaps and Persistence of WRMA's 30 years' Land Use Changes
54,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,916041be57be47a1b19c63f328fb086c,iUTAH GAMUT Network Raw Data Above Red Butte Reservoir Climate Site (RB_ARBR_C)
55,NSF,https://www.nsf.gov/awardsearch/showAward?AWD_ID=1450412,1450412," Collaborative Research: SI2-SSI: Landlab: A Flexible, Open-Source Modeling Framework for Earth-Surface Dynamics",15d0a79514c44a59b41b68ad74496d0f,Landlab Ecohydrologic Mapping  Tutorial
56,NSF,https://www.nsf.gov/awardsearch/showAward?AWD_ID=1450412,1450412," Collaborative Research: SI2-SSI: Landlab: A Flexible, Open-Source Modeling Framework for Earth-Surface Dynamics",33ee1a9b1b53413ba9e8783150f01caa,Cellular_Automaton_Vegetation_on_Flat_Domain
57,NSF,https://www.nsf.gov/awardsearch/showAward?AWD_ID=1450412,1450412," Collaborative Research: SI2-SSI: Landlab: A Flexible, Open-Source Modeling Framework for Earth-Surface Dynamics",20ff6a71b0ef4970b74cc7a53a523c4f,Cellular_Automaton_Vegetation_on_Actual_Landscape
58,BIA,,,,7ddda413f2904865ace5157efc80a46e,Skagit River Basin DHSVM model instance 2016
59,SSIT,,,,7ddda413f2904865ace5157efc80a46e,Skagit River Basin DHSVM model instance 2016
60,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,ecb77926c2484e068f28acda434f8772,Unused_Resource_1
61,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,56a50022bcb749498999a1d263b7d1b3,Discharge Rating Curve at Logan River near Tony Grove Basic Aquatic Site (LR_TG_BA)
62,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,23650489df6646edaf412cffa9881279,iUTAH GAMUT Network Raw Data at Logan River near Main Street Basic Aquatic Site (LR_MainStreet_BA)
63,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,fd7e56d92c06427583cd83eddf4adf42,iUTAH GAMUT Network Raw Data at Spring Creek Storm Drain (LR_SC_SD)
64,NSF ,,1450412," 	Collaborative Research: SI2-SSI: Landlab: A Flexible, Open-Source Modeling Framework for Earth-Surface Dynamics",466d5b3de8a543808d96ded08d861dc5,Watershed DEM analysis and flood routing
65,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,728566f42906412698b09f6fe2f7cd02,iUTAH GAMUT Network Raw Data at Logan River near Mendon Road Advanced Aquatic Site (LR_Mendon_AA)
66,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,96310f82dd5247ba8201955750093923,iUTAH GAMUT Network Raw Data at Golf Course Climate Site (LR_GC_C)
67,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,965dc124cabc4587955e6f1f722fc33b,iUTAH GAMUT Network Raw Data at Franklin Basin Climate Site (LR_FB_C)
68,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,0f92ac668f004648a1f28e76d11b65cd,Discharge Rating Curve at Logan River near Franklin Basin Basic Aquatic Site (LR_FB_BA)
69,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,41a97f0a068140f1b0a7424b2e2c5658,Social Vulnerability at the Census Place level
70,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,7dc8a79165564023b647b1da31522a7a,Utah's Counties: Sensitivity to Water Hazards
71,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,cc7cfbc730634e1985a3051e2ab805f3,Hazard Mitigation and Capacity in Utah Census Places
72,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,6137759909b14a43b1086cf4a7c53531,NOAA Flood Events
73,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,ca2fbdd5258846fda5f97c76127866f8,Changes of Agricultural Land Use in WRMA
74,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,71e9164eb57a4e32b58ad6bbe831b3f6,Future WRMA's Land Use Dataset
75,National Science Foundation,http://www.nsf.gov/awardsearch/showAward?AWD_ID=1148453,"ACI-1148453, ACI-1148090",Collaborative Research: SI2-SSI: An Interactive Software Infrastructure for Sustaining Collaborative Community Innovation in the Hydrologic Sciences,fe1f1b565cbe40b3a57c845a0a55e460,Presentation to CUAHSI Biennial Symposium: Share and Publish Your Data and Models with HydroShare
76,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion Hydro-sustainability,40655b4fc21142d090a5a4b835c14220,iUTAH GAMUT Network Raw Data at Red Butte Gate Basic Aquatic Site (RB_RBG_BA)
77,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion Hydro-sustainability,a1055003e38b4710a766c6a1de39acee,Important categorical land use changes from 2001-2011
78,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,8971ca6bab084779913f925e0e485008,iUTAH GAMUT Network Raw Data at Logan River near Franklin Basin Basic Aquatic Site (LR_FB_BA)
79,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,5cc3cf79eab2413fa46da70435a43265,iUTAH GAMUT Network Raw Data at Logan River near Tony Grove Basic Aquatic Site (LR_TG_BA)
80,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,cc756752a3094d268724e659ba9a691b,Nitrogen content and isotopic composition of lichens in northern Utah
81,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,a2cde5c64087408886aa3b8360b2cbb5,UTAH WATER SURVEY: Perceptions and Concerns about Water Issues
82,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,7ff1ae6051784b1d8dfd3ea6de16c387,Discharge Rating Curve at Logan River near Main Street Bridge Basic Aquatic Site (LR_MS_BA)
83,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,5372511f7d4b45488834f20b6468612f,Discharge Rating Curve at Logan River near Water Research Laboratory Advanced Aquatic Site (LR_WL_AA)
84,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,1c41a65ee28a47b0b319070290a30846,Discharge Rating Curve at Logan River near Mendon Road Advanced Aquatic Site (LR_MR_AA)
85,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,7999192b91bf489c981a1059fc95ebc2,iUTAH GAMUT Network Raw Data at Red Butte Creek near Foothill Drive Advanced Aquatic Site (RB_FD_AA)
86,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,23c6b979e8144ea38cf5421de1eb2b1b,Green Meadows: stormwater pollutant concentrations
87,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,48fc6871c51d436b83000a8d29ddb702,Aquatic GAMUT Bacterial Community Target Metagenomics-454 Pyro
88,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,11e00d5fae2d4ef6b145a12582764e7d,"Water Temperature in the Little Bear River at Mendon Road near Mendon, UT"
89,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,af9969d7b42741baa9906cd418608823,Green Meadows: nutrient and metal uptake into plant tissue
90,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,b34d6fd949ae49a6a6bf8743c9f5d186,GAMUT Site Locations
91,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,75e8417010f64fcdb11b874fc805b7b8,Green Roof Evapotranspiration
92,The Office of Sustainability of the University of Utah,,,Sustainable Campus Initiative Fund,75e8417010f64fcdb11b874fc805b7b8,Green Roof Evapotranspiration
93,The Global Change and Sustainability Center of the University of Utah,,,Graduate Student Research Fund,75e8417010f64fcdb11b874fc805b7b8,Green Roof Evapotranspiration
94,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,914768f58670438eb1b7b38b9e3e888a,Green Infrastructure Projects on the University of Utah Campus
95,WRIA 1 Joint Board,http://wria1project.whatcomcounty.org/Home/Water-Budget/97.aspx,Whatcom County Contract 201111021,Lower Nooksack Water Budget,f3460ce144ab420bbede29b1437bd8fc,LNWB Ch01 Public Processes - Outreach and Review
96,Water Resource Inventory Area (WRIA) 1 Joint Board,http://wria1project.whatcomcounty.org/,201111021,Whatcom County Contract,d15b9934f34e4c57913b3cb53966d5c7,Lower Nooksack Water Budget (LNWB)
97,WRIA 1 Joint Board,http://wria1project.whatcomcounty.org/Home/Water-Budget/97.aspx,Whatcom County Contract 201111021,Lower Nooksack Water Budget,d36dd0975ee848758471d4612feb559e,LNWB Ch02 Model Processes - model code
98,WRIA 1 Joint Board ,http://wria1project.whatcomcounty.org/Home/Water-Budget/97.aspx,Whatcom County Contract 201111021,Lower Nooksack Water Budget ,7ccd68835ff14c1d856c704591c77a8a,LNWB Ch03 Data Processes - data management plan
99,WRIA 1 Joint Board ,http://wria1project.whatcomcounty.org/Home/Water-Budget/97.aspx,Whatcom County Contract 201111021,Lower Nooksack Water Budget ,2d58ac373e4f4174a3050a046aaf121e,LNWB Ch04 Climate Data
100,WRIA 1 Joint Board ,http://wria1project.whatcomcounty.org/Home/Water-Budget/97.aspx,Whatcom County Contract 201111021,Lower Nooksack Water Budget ,66614536629146748c78ca799540b1b3,LNWB Ch04 Climate Data - inputs
101,WRIA 1 Joint Board ,http://wria1project.whatcomcounty.org/Home/Water-Budget/97.aspx,Whatcom County Contract 201111021,Lower Nooksack Water Budget ,120eac90fa3b45bab473e1914f686ca0,LNWB Ch04 Climate Data - processing in Matlab
102,WRIA 1 Joint Board ,http://wria1project.whatcomcounty.org/Home/Water-Budget/97.aspx,Whatcom County Contract 201111021,Lower Nooksack Water Budget ,3b6d4604e82745308f7293d10a5f2349,LNWB Ch04 Climate Data - outputs
103,WRIA 1 Joint Board ,http://wria1project.whatcomcounty.org/Home/Water-Budget/97.aspx,Whatcom County Contract 201111021,Lower Nooksack Water Budget ,e628c40866fb45949bb943b7dea5e162,LNWB Ch05 Land Cover - parameter values by land cover class
104,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,9fdb46d929e64d0bbedbf904514dea71,"Precipitation chemistry along an elevation gradient in Red Butte Canyon, Utah"
105,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,4d1b422647d347e7b6e2a73d761afe3e,Stormwater flow data for Sage Point on the University of Utah campus
106,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,b9e35d97083247909e30fe930e138b03,Precipitation Chemistry at GIRF
107,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,7ce47150ee344d4e95f2fd7bb4f660ac,iUTAH precipitation ions and nitrogen stable isotope composition
108,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,d442be0e28ea4d19a58c4bc089b09a0e,Hydrological Model Inputs for Great Salt Lake for 1966-2012
109,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,4eb5c9c871e34aa4ae6951ce6d15020d,FPOM and DOM isotope values
110,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,9a9ede7e2fbe455099c429898b39bb17,Wasatch Mountain Voices
111,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,9d47fdf9c987449797de7286943f78e1,Groundwater Quality Data from Private Wells in Cache Valley
112,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,1555507c6a414701b1beb2cd2bffcd18,Snow-Water Equivalence in Beetle Killed Forest in Wolf Creek
113,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,098f7957cbca4cd3ad5d49e3fa5a0830,Snow Chemistry Data
114,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,53d56f8f91864d229eff655a2c51be60,Snow-Water Equivalence across Burn Severity Gradient in Twitchell Canyon Fire
115,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,72ab49b468bc427fa2024b5b716d3103,Utah's Water Future - 2014 Household Survey
116,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,c0174577fae8417c8c4730e8f5fc2cee,"Water Use Data by Municipality, 2010"
117,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,99f527f00b2041d5ab6fd01e24f03f18,iUTAH GAMUT Synoptic Sampling Site Sub-watershed delineations
118,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,0473ba7ffc334567aec17290ffd6f91c,Green Meadows: nutrient and metal concentration of soil
119,National Science Foundation,http://www.nsf.gov,1208732,iUTAH-innovative Urban Transitions and Aridregion  Hydro-sustainability,a786cf8fb0934b10a469e19e7b345ed8,Attitudes towards Water on a University Campus--Qualitative Data
120,WRIA 1 Joint Board ,http://wria1project.whatcomcounty.org/Home/Water-Budget/97.aspx,Whatcom County Contract 201111021,Lower Nooksack Water Budget ,52c392aa8833445e9dfc1a0cb721e087,LNWB Ch04 Climate Data - geodatabase
121,WRIA 1 Joint Board ,http://wria1project.whatcomcounty.org/Home/Water-Budget/97.aspx,Whatcom County Contract 201111021,Lower Nooksack Water Budget ,479ae9daeec34b48885f7645ea0966b4,LNWB Ch05 Land Cover
122,WRIA 1 Joint Board ,http://wria1project.whatcomcounty.org/Home/Water-Budget/97.aspx,Whatcom County Contract 201111021,Lower Nooksack Water Budget ,173b983c535a47e2a39924aea869688c,LNWB Ch05 Land Cover - data processing
123,WRIA 1 Joint Board ,http://wria1project.whatcomcounty.org/Home/Water-Budget/97.aspx,Whatcom County Contract 201111021,Lower Nooksack Water Budget ,207c37ac2733409792965d903bf1a45b,"LNWB Ch05 Land Cover - subbasins, charts, and tables"
124,WRIA 1 Joint Board ,http://wria1project.whatcomcounty.org/Home/Water-Budget/97.aspx,Whatcom County Contract 201111021,Lower Nooksack Water Budget ,ee8ad4fd6c484041950d597a19b9f21e,LNWB Ch05 Land Cover - shape files
125,WRIA 1 Joint Board ,http://wria1project.whatcomcounty.org/Home/Water-Budget/97.aspx,Whatcom County Contract 201111021,Lower Nooksack Water Budget,bb01915e95234f35b296d780efeacefd,LNWB Ch06 Soil Processes and Inputs - STATSGO soil spatial data
126,WRIA 1 Joint Board ,http://wria1project.whatcomcounty.org/Home/Water-Budget/97.aspx,Whatcom County Contract 201111021,Lower Nooksack Water Budget ,66a39dc5f80b4d90a4366a720928e3ad,LNWB Ch05 Land Cover - layers
127,WRIA 1 Joint Board ,http://wria1project.whatcomcounty.org/Home/Water-Budget/97.aspx,Whatcom County Contract 201111021,Lower Nooksack Water Budget,fb17642c00bc4c3489878a672322caa4,LNWB Ch06 Soil Processes and Inputs
128,WRIA 1 Joint Board ,http://wria1project.whatcomcounty.org/Home/Water-Budget/97.aspx,Whatcom County Contract 201111021,Lower Nooksack Water Budget,23d4cdfd020b4d839bffedde6cf24c85,LNWB Ch06 Soil Processes and Inputs - GIS raster grids for soil layers
129,WRIA 1 Joint Board ,http://wria1project.whatcomcounty.org/Home/Water-Budget/97.aspx,Whatcom County Contract 201111021,Lower Nooksack Water Budget,497aea7c3b614e61a61ca808c32d55a2,LNWB Ch06 Soil Processes and Inputs -  SSURGO soil spatial data
